order_id,amount,profit,quantity,category_id
B-25601,1275.0,-1148.0,7,1
B-25614,494.0,54.0,4,1
B-25618,362.0,127.0,1,1
B-25638,182.0,-11.0,3,1
B-25643,1061.0,-36.0,8,1
B-25651,200.0,-60.0,4,1
B-25664,83.0,-48.0,1,1
B-25667,516.0,69.0,4,1
B-25670,656.0,-36.0,2,1
B-25718,371.0,115.0,1,1
B-25718,460.0,31.0,3,1
B-25724,168.0,-51.0,2,1
B-25726,490.0,-128.0,8,1
B-25745,670.0,15.0,5,1
B-25747,877.0,395.0,2,1
B-25749,1052.0,-82.0,3,1
B-25750,73.0,-31.0,1,1
B-25752,1361.0,197.0,9,1
B-25755,257.0,-3.0,2,1
B-25755,593.0,213.0,4,1
B-25756,204.0,-276.0,3,1
B-25756,729.0,-492.0,5,1
B-25761,2188.0,1050.0,5,1
B-25770,375.0,180.0,3,1
B-25770,299.0,113.0,2,1
B-25786,1854.0,433.0,5,1
B-25789,313.0,-13.0,5,1
B-25797,148.0,-101.0,2,1
B-25798,2830.0,-1981.0,13,1
B-25832,504.0,116.0,3,1
B-25840,246.0,61.0,2,1
B-25840,298.0,74.0,2,1
B-25851,336.0,71.0,3,1
B-25855,197.0,73.0,1,1
B-25857,598.0,166.0,4,1
B-25858,223.0,27.0,2,1
B-25859,724.0,253.0,2,1
B-25862,2061.0,701.0,5,1
B-25878,741.0,267.0,5,1
B-25885,394.0,146.0,2,1
B-25894,1246.0,62.0,3,1
B-25895,388.0,93.0,2,1
B-25902,268.0,6.0,2,1
B-25904,871.0,131.0,2,1
B-25929,1308.0,536.0,3,1
B-25930,595.0,119.0,4,1
B-25937,1101.0,352.0,3,1
B-25945,245.0,10.0,2,1
B-25951,742.0,198.0,2,1
B-25953,1218.0,352.0,9,1
B-25955,2927.0,146.0,8,1
B-25957,1157.0,-13.0,9,1
B-25960,171.0,-140.0,2,1
B-25961,366.0,84.0,3,1
B-25962,544.0,-152.0,3,1
B-25969,2452.0,191.0,7,1
B-25970,742.0,198.0,2,1
B-25971,244.0,83.0,2,1
B-25974,662.0,240.0,2,1
B-25979,284.0,45.0,2,1
B-25981,245.0,91.0,2,1
B-25983,561.0,118.0,5,1
B-25989,330.0,81.0,1,1
B-25995,1314.0,342.0,3,1
B-25997,2292.0,127.0,7,1
B-26007,311.0,72.0,2,1
B-26023,1117.0,447.0,10,1
B-26033,143.0,32.0,1,1
B-26051,676.0,195.0,5,1
B-26051,669.0,74.0,5,1
B-26053,246.0,61.0,2,1
B-26053,594.0,89.0,3,1
B-26055,1218.0,420.0,8,1
B-26056,213.0,-145.0,3,1
B-26057,659.0,-37.0,2,1
B-26067,618.0,27.0,4,1
B-26076,450.0,190.0,4,1
B-26081,359.0,-338.0,5,1
B-26093,852.0,51.0,5,1
B-25601,66.0,-12.0,5,2
B-25603,116.0,16.0,4,2
B-25603,107.0,36.0,6,2
B-25610,107.0,-54.0,4,2
B-25616,116.0,-56.0,5,2
B-25623,53.0,1.0,4,2
B-25623,158.0,69.0,3,2
B-25623,105.0,20.0,2,2
B-25627,55.0,-39.0,4,2
B-25630,133.0,12.0,5,2
B-25630,40.0,-7.0,3,2
B-25649,27.0,-25.0,2,2
B-25650,28.0,-26.0,2,2
B-25651,44.0,-8.0,3,2
B-25654,105.0,46.0,2,2
B-25656,30.0,-5.0,5,2
B-25670,74.0,29.0,3,2
B-25672,27.0,-15.0,1,2
B-25683,148.0,52.0,5,2
B-25687,17.0,6.0,1,2
B-25689,97.0,17.0,2,2
B-25689,149.0,36.0,3,2
B-25691,75.0,-25.0,3,2
B-25691,17.0,-9.0,3,2
B-25697,67.0,-42.0,3,2
B-25699,49.0,-31.0,2,2
B-25700,44.0,-32.0,3,2
B-25703,17.0,-3.0,2,2
B-25706,31.0,-11.0,4,2
B-25707,8.0,-6.0,1,2
B-25708,81.0,-51.0,7,2
B-25708,32.0,-8.0,2,2
B-25719,29.0,10.0,2,2
B-25722,48.0,-8.0,8,2
B-25723,26.0,-24.0,1,2
B-25723,16.0,-12.0,2,2
B-25725,26.0,-5.0,2,2
B-25730,96.0,22.0,5,2
B-25732,16.0,-5.0,2,2
B-25733,43.0,-43.0,7,2
B-25733,30.0,-10.0,2,2
B-25740,40.0,-37.0,3,2
B-25743,74.0,-51.0,3,2
B-25745,44.0,-8.0,3,2
B-25750,22.0,-12.0,3,2
B-25752,76.0,27.0,5,2
B-25753,77.0,-43.0,8,2
B-25754,93.0,-65.0,4,2
B-25755,80.0,-19.0,5,2
B-25755,47.0,-3.0,2,2
B-25757,53.0,15.0,2,2
B-25757,165.0,30.0,3,2
B-25757,211.0,19.0,8,2
B-25758,8.0,-2.0,1,2
B-25765,139.0,14.0,3,2
B-25775,50.0,-17.0,2,2
B-25781,45.0,-28.0,2,2
B-25783,25.0,-11.0,1,2
B-25786,44.0,-34.0,3,2
B-25788,12.0,3.0,1,2
B-25792,74.0,-25.0,3,2
B-25796,78.0,-64.0,7,2
B-25798,47.0,-3.0,2,2
B-25798,38.0,-13.0,3,2
B-25799,70.0,-64.0,5,2
B-25801,49.0,-31.0,2,2
B-25802,95.0,5.0,2,2
B-25803,185.0,48.0,4,2
B-25807,16.0,6.0,1,2
B-25808,59.0,21.0,2,2
B-25810,92.0,42.0,2,2
B-25815,35.0,14.0,2,2
B-25816,391.0,113.0,8,2
B-25821,60.0,21.0,4,2
B-25825,115.0,25.0,6,2
B-25833,45.0,16.0,3,2
B-25834,16.0,5.0,1,2
B-25835,155.0,26.0,3,2
B-25837,263.0,50.0,5,2
B-25838,161.0,40.0,3,2
B-25843,45.0,0.0,2,2
B-25845,132.0,54.0,5,2
B-25850,148.0,24.0,3,2
B-25852,97.0,17.0,2,2
B-25852,50.0,16.0,1,2
B-25853,199.0,48.0,4,2
B-25854,149.0,48.0,6,2
B-25854,88.0,16.0,4,2
B-25856,74.0,29.0,3,2
B-25861,50.0,3.0,2,2
B-25862,121.0,41.0,4,2
B-25862,80.0,3.0,3,2
B-25863,189.0,87.0,7,2
B-25864,100.0,6.0,4,2
B-25866,51.0,14.0,2,2
B-25867,31.0,14.0,3,2
B-25873,66.0,12.0,3,2
B-25878,140.0,15.0,5,2
B-25880,108.0,37.0,2,2
B-25882,121.0,19.0,4,2
B-25885,349.0,0.0,7,2
B-25886,89.0,17.0,2,2
B-25891,121.0,41.0,4,2
B-25893,355.0,114.0,7,2
B-25893,83.0,12.0,3,2
B-25897,43.0,5.0,3,2
B-25898,147.0,73.0,3,2
B-25905,152.0,50.0,6,2
B-25906,78.0,27.0,3,2
B-25913,103.0,21.0,7,2
B-25914,125.0,22.0,3,2
B-25919,110.0,12.0,7,2
B-25922,52.0,18.0,2,2
B-25925,27.0,12.0,1,2
B-25933,81.0,-44.0,3,2
B-25938,59.0,25.0,3,2
B-25940,55.0,4.0,2,2
B-25943,48.0,20.0,4,2
B-25950,54.0,27.0,2,2
B-25950,133.0,5.0,5,2
B-25951,102.0,13.0,2,2
B-25951,120.0,23.0,5,2
B-25951,89.0,29.0,2,2
B-25953,81.0,41.0,3,2
B-25953,87.0,36.0,5,2
B-25954,44.0,10.0,3,2
B-25955,110.0,20.0,5,2
B-25957,147.0,73.0,3,2
B-25964,199.0,0.0,4,2
B-25970,111.0,9.0,4,2
B-25973,571.0,108.0,12,2
B-25977,27.0,1.0,1,2
B-25977,74.0,29.0,3,2
B-25978,341.0,160.0,7,2
B-25981,48.0,2.0,3,2
B-25984,304.0,97.0,6,2
B-25985,44.0,11.0,4,2
B-25987,299.0,0.0,6,2
B-25989,10.0,5.0,1,2
B-25993,44.0,8.0,2,2
B-25996,47.0,1.0,2,2
B-25999,26.0,-17.0,1,2
B-25999,93.0,-65.0,4,2
B-25999,352.0,74.0,8,2
B-26002,80.0,22.0,3,2
B-26005,87.0,10.0,3,2
B-26008,22.0,4.0,1,2
B-26010,29.0,3.0,2,2
B-26011,93.0,44.0,2,2
B-26021,49.0,21.0,1,2
B-26023,66.0,22.0,3,2
B-26023,59.0,21.0,2,2
B-26024,168.0,18.0,6,2
B-26025,155.0,5.0,3,2
B-26025,32.0,1.0,2,2
B-26030,50.0,25.0,5,2
B-26037,171.0,68.0,7,2
B-26038,52.0,14.0,2,2
B-26040,38.0,9.0,2,2
B-26042,36.0,15.0,3,2
B-26043,185.0,48.0,4,2
B-26043,122.0,50.0,7,2
B-26045,376.0,0.0,7,2
B-26045,27.0,5.0,1,2
B-26050,38.0,9.0,2,2
B-26051,80.0,22.0,3,2
B-26051,216.0,50.0,4,2
B-26052,25.0,7.0,2,2
B-26053,85.0,2.0,6,2
B-26053,162.0,55.0,3,2
B-26054,139.0,36.0,3,2
B-26054,138.0,11.0,5,2
B-26054,156.0,23.0,3,2
B-26055,227.0,48.0,5,2
B-26056,70.0,24.0,3,2
B-26061,109.0,52.0,2,2
B-26062,44.0,-40.0,3,2
B-26062,50.0,-17.0,2,2
B-26062,13.0,-2.0,1,2
B-26065,146.0,19.0,5,2
B-26073,290.0,110.0,9,2
B-26075,34.0,12.0,2,2
B-26076,91.0,22.0,2,2
B-26078,137.0,63.0,3,2
B-26081,79.0,33.0,4,2
B-26082,95.0,5.0,2,2
B-26085,40.0,17.0,2,2
B-26087,40.0,10.0,2,2
B-26087,180.0,0.0,8,2
B-26090,80.0,22.0,3,2
B-26091,158.0,69.0,3,2
B-26094,152.0,50.0,6,2
B-25601,8.0,-2.0,3,3
B-25603,12.0,1.0,2,3
B-25608,257.0,23.0,5,3
B-25615,68.0,20.0,5,3
B-25616,42.0,12.0,5,3
B-25616,22.0,-2.0,3,3
B-25616,14.0,-2.0,3,3
B-25618,12.0,0.0,2,3
B-25624,26.0,12.0,3,3
B-25625,97.0,29.0,2,3
B-25635,40.0,16.0,3,3
B-25638,154.0,39.0,3,3
B-25640,314.0,-239.0,13,3
B-25643,50.0,-44.0,2,3
B-25652,25.0,-2.0,5,3
B-25652,9.0,-6.0,2,3
B-25654,34.0,12.0,3,3
B-25655,44.0,-26.0,3,3
B-25655,7.0,-4.0,3,3
B-25655,6.0,-3.0,1,3
B-25656,6.0,3.0,1,3
B-25656,24.0,-1.0,2,3
B-25656,56.0,18.0,2,3
B-25656,13.0,-1.0,3,3
B-25661,19.0,-15.0,3,3
B-25661,7.0,-1.0,2,3
B-25667,11.0,-2.0,4,3
B-25670,24.0,1.0,2,3
B-25670,14.0,2.0,1,3
B-25693,76.0,-72.0,9,3
B-25698,27.0,-6.0,4,3
B-25698,7.0,-2.0,1,3
B-25700,7.0,-3.0,2,3
B-25701,33.0,-12.0,5,3
B-25703,32.0,-5.0,5,3
B-25703,231.0,-190.0,9,3
B-25711,100.0,-58.0,4,3
B-25714,11.0,-5.0,2,3
B-25725,23.0,-5.0,7,3
B-25730,18.0,8.0,2,3
B-25733,23.0,-6.0,4,3
B-25735,12.0,-2.0,3,3
B-25735,15.0,-7.0,1,3
B-25743,56.0,0.0,4,3
B-25751,32.0,7.0,3,3
B-25751,65.0,-4.0,6,3
B-25752,8.0,-2.0,2,3
B-25753,27.0,-20.0,2,3
B-25757,106.0,15.0,7,3
B-25757,14.0,5.0,1,3
B-25757,17.0,7.0,3,3
B-25759,20.0,-9.0,6,3
B-25771,148.0,59.0,3,3
B-25781,60.0,-49.0,8,3
B-25783,30.0,-6.0,2,3
B-25783,26.0,2.0,2,3
B-25784,15.0,4.0,1,3
B-25793,40.0,-33.0,5,3
B-25793,60.0,-12.0,4,3
B-25793,18.0,1.0,3,3
B-25797,31.0,1.0,2,3
B-25798,61.0,-50.0,4,3
B-25800,45.0,12.0,7,3
B-25808,210.0,50.0,4,3
B-25809,154.0,54.0,3,3
B-25809,53.0,24.0,1,3
B-25810,26.0,10.0,4,3
B-25810,29.0,8.0,5,3
B-25811,126.0,52.0,4,3
B-25812,259.0,47.0,5,3
B-25818,75.0,28.0,9,3
B-25818,28.0,14.0,4,3
B-25821,17.0,0.0,1,3
B-25829,345.0,38.0,7,3
B-25830,41.0,11.0,6,3
B-25833,64.0,27.0,5,3
B-25833,36.0,4.0,9,3
B-25838,70.0,26.0,5,3
B-25838,81.0,19.0,7,3
B-25843,255.0,74.0,5,3
B-25843,18.0,6.0,3,3
B-25848,16.0,8.0,2,3
B-25850,93.0,-1.0,2,3
B-25850,24.0,1.0,4,3
B-25851,10.0,2.0,2,3
B-25851,53.0,24.0,6,3
B-25852,24.0,1.0,2,3
B-25852,45.0,12.0,4,3
B-25853,30.0,14.0,3,3
B-25853,26.0,11.0,2,3
B-25854,436.0,131.0,9,3
B-25854,76.0,19.0,3,3
B-25854,40.0,16.0,3,3
B-25855,90.0,17.0,3,3
B-25855,98.0,12.0,2,3
B-25855,61.0,30.0,2,3
B-25858,22.0,8.0,3,3
B-25861,62.0,6.0,5,3
B-25861,44.0,14.0,3,3
B-25861,56.0,18.0,2,3
B-25864,17.0,5.0,1,3
B-25864,27.0,9.0,2,3
B-25870,473.0,113.0,9,3
B-25871,118.0,25.0,4,3
B-25873,7.0,1.0,1,3
B-25881,37.0,3.0,3,3
B-25883,146.0,42.0,5,3
B-25883,16.0,-15.0,4,3
B-25884,24.0,2.0,4,3
B-25888,18.0,2.0,3,3
B-25891,25.0,2.0,2,3
B-25891,97.0,36.0,7,3
B-25896,103.0,36.0,2,3
B-25897,33.0,10.0,3,3
B-25897,24.0,11.0,5,3
B-25901,158.0,38.0,3,3
B-25901,61.0,28.0,2,3
B-25903,19.0,8.0,2,3
B-25903,37.0,17.0,3,3
B-25903,204.0,94.0,4,3
B-25907,30.0,11.0,5,3
B-25910,259.0,47.0,5,3
B-25930,151.0,29.0,5,3
B-25930,58.0,17.0,2,3
B-25935,150.0,32.0,3,3
B-25940,13.0,3.0,2,3
B-25943,26.0,7.0,4,3
B-25943,137.0,38.0,5,3
B-25947,290.0,35.0,6,3
B-25949,24.0,11.0,3,3
B-25949,151.0,9.0,3,3
B-25950,158.0,-29.0,10,3
B-25951,111.0,11.0,9,3
B-25952,14.0,0.0,4,3
B-25952,44.0,14.0,3,3
B-25953,22.0,-8.0,4,3
B-25953,44.0,2.0,3,3
B-25956,59.0,10.0,2,3
B-25956,33.0,10.0,3,3
B-25958,105.0,25.0,2,3
B-25959,82.0,24.0,6,3
B-25959,23.0,8.0,2,3
B-25965,17.0,7.0,3,3
B-25973,398.0,111.0,8,3
B-25979,12.0,1.0,2,3
B-25985,32.0,8.0,5,3
B-25987,88.0,11.0,7,3
B-25989,44.0,14.0,3,3
B-25989,338.0,41.0,7,3
B-25991,13.0,5.0,2,3
B-25996,31.0,2.0,2,3
B-25997,16.0,6.0,3,3
B-25997,48.0,15.0,1,3
B-25999,222.0,74.0,5,3
B-26001,13.0,0.0,2,3
B-26003,128.0,47.0,4,3
B-26008,206.0,51.0,4,3
B-26010,18.0,2.0,3,3
B-26016,202.0,4.0,4,3
B-26018,61.0,8.0,4,3
B-26021,21.0,-12.0,3,3
B-26025,41.0,19.0,5,3
B-26026,255.0,76.0,9,3
B-26030,92.0,5.0,6,3
B-26040,113.0,24.0,4,3
B-26043,62.0,28.0,5,3
B-26043,79.0,5.0,6,3
B-26046,32.0,3.0,8,3
B-26049,100.0,28.0,2,3
B-26050,284.0,44.0,6,3
B-26051,85.0,24.0,10,3
B-26054,246.0,98.0,5,3
B-26056,47.0,20.0,7,3
B-26056,33.0,9.0,2,3
B-26056,15.0,6.0,2,3
B-26056,101.0,11.0,2,3
B-26056,31.0,9.0,2,3
B-26056,206.0,18.0,4,3
B-26058,212.0,97.0,7,3
B-26064,61.0,3.0,4,3
B-26067,53.0,2.0,4,3
B-26070,14.0,7.0,2,3
B-26071,21.0,4.0,3,3
B-26073,37.0,17.0,3,3
B-26073,122.0,11.0,4,3
B-26077,62.0,11.0,7,3
B-26079,18.0,3.0,2,3
B-26081,24.0,11.0,3,3
B-26086,25.0,2.0,2,3
B-26087,46.0,13.0,3,3
B-26088,11.0,5.0,2,3
B-26089,27.0,4.0,1,3
B-26091,29.0,10.0,4,3
B-26093,49.0,5.0,4,3
B-26097,97.0,12.0,2,3
B-26097,14.0,5.0,1,3
B-26097,19.0,8.0,2,3
B-26099,207.0,37.0,4,3
B-25601,80.0,-56.0,4,4
B-25609,485.0,29.0,4,4
B-25614,98.0,-12.0,2,4
B-25617,305.0,-270.0,5,4
B-25621,233.0,-10.0,5,4
B-25621,228.0,63.0,3,4
B-25643,263.0,-63.0,2,4
B-25643,36.0,-7.0,1,4
B-25650,925.0,-447.0,5,4
B-25654,269.0,-86.0,2,4
B-25656,624.0,37.0,2,4
B-25657,1021.0,-48.0,4,4
B-25662,86.0,-21.0,1,4
B-25666,934.0,-916.0,7,4
B-25676,342.0,-103.0,4,4
B-25681,1096.0,-658.0,7,4
B-25689,469.0,-459.0,3,4
B-25705,46.0,0.0,2,4
B-25723,76.0,-54.0,3,4
B-25725,144.0,-7.0,4,4
B-25734,108.0,-19.0,3,4
B-25741,482.0,-6.0,7,4
B-25748,47.0,-21.0,2,4
B-25751,534.0,5.0,2,4
B-25751,221.0,-15.0,2,4
B-25752,761.0,266.0,9,4
B-25761,328.0,-15.0,3,4
B-25761,263.0,-31.0,9,4
B-25762,1316.0,-527.0,7,4
B-25767,299.0,-28.0,3,4
B-25773,209.0,-21.0,2,4
B-25778,724.0,-447.0,4,4
B-25790,42.0,-3.0,1,4
B-25803,269.0,91.0,1,4
B-25808,146.0,-63.0,3,4
B-25819,417.0,49.0,3,4
B-25823,2103.0,322.0,8,4
B-25848,648.0,50.0,6,4
B-25855,442.0,31.0,2,4
B-25858,2457.0,665.0,11,4
B-25861,216.0,-83.0,3,4
B-25873,367.0,73.0,3,4
B-25881,1351.0,111.0,6,4
B-25888,646.0,213.0,3,4
B-25897,734.0,213.0,6,4
B-25898,171.0,2.0,2,4
B-25910,850.0,289.0,5,4
B-25915,277.0,3.0,1,4
B-25919,1599.0,37.0,6,4
B-25925,314.0,-41.0,3,4
B-25927,200.0,7.0,4,4
B-25930,351.0,-94.0,5,4
B-25939,469.0,33.0,4,4
B-25945,765.0,-36.0,3,4
B-25951,50.0,14.0,1,4
B-25952,935.0,114.0,4,4
B-25953,188.0,-193.0,2,4
B-25954,524.0,-25.0,2,4
B-25954,148.0,9.0,1,4
B-25962,312.0,62.0,1,4
B-25964,1270.0,546.0,11,4
B-25966,510.0,234.0,6,4
B-25978,1063.0,-175.0,4,4
B-25986,918.0,22.0,9,4
B-25997,231.0,99.0,2,4
B-25999,51.0,-49.0,2,4
B-26004,162.0,73.0,2,4
B-26010,527.0,26.0,3,4
B-26016,429.0,61.0,3,4
B-26016,134.0,-13.0,3,4
B-26035,369.0,15.0,3,4
B-26051,600.0,102.0,5,4
B-26054,559.0,174.0,2,4
B-26063,241.0,-77.0,4,4
B-26072,313.0,44.0,3,4
B-26078,557.0,111.0,2,4
B-26084,209.0,-63.0,4,4
B-26087,311.0,40.0,1,4
B-26097,671.0,-309.0,5,4
B-25602,168.0,-111.0,2,5
B-25602,424.0,-272.0,5,5
B-25602,2617.0,1151.0,4,5
B-25621,333.0,-15.0,3,5
B-25626,46.0,-14.0,1,5
B-25630,143.0,-129.0,2,5
B-25633,249.0,-130.0,4,5
B-25639,1629.0,-153.0,3,5
B-25645,273.0,-87.0,4,5
B-25645,183.0,-66.0,5,5
B-25648,100.0,-23.0,1,5
B-25650,351.0,-47.0,8,5
B-25653,427.0,-50.0,7,5
B-25653,195.0,-117.0,5,5
B-25657,332.0,-43.0,6,5
B-25664,444.0,-200.0,4,5
B-25664,785.0,52.0,2,5
B-25664,258.0,-27.0,2,5
B-25678,327.0,-39.0,1,5
B-25681,1625.0,-77.0,3,5
B-25682,545.0,-73.0,11,5
B-25683,245.0,-3.0,4,5
B-25685,529.0,137.0,3,5
B-25693,68.0,-30.0,1,5
B-25693,72.0,-49.0,1,5
B-25696,117.0,-6.0,3,5
B-25697,73.0,-7.0,1,5
B-25698,65.0,-16.0,2,5
B-25704,102.0,0.0,3,5
B-25708,709.0,-100.0,5,5
B-25712,193.0,-275.0,3,5
B-25715,416.0,137.0,3,5
B-25721,149.0,-40.0,2,5
B-25728,771.0,-424.0,2,5
B-25729,1549.0,-439.0,4,5
B-25730,1145.0,-706.0,3,5
B-25738,148.0,-91.0,2,5
B-25748,224.0,58.0,3,5
B-25751,68.0,-56.0,2,5
B-25751,106.0,0.0,2,5
B-25756,465.0,-33.0,4,5
B-25761,418.0,70.0,7,5
B-25764,765.0,-153.0,2,5
B-25780,137.0,-41.0,3,5
B-25795,276.0,-21.0,2,5
B-25825,911.0,355.0,5,5
B-25830,1063.0,64.0,7,5
B-25830,1954.0,782.0,3,5
B-25845,274.0,-7.0,4,5
B-25849,336.0,123.0,3,5
B-25850,916.0,192.0,11,5
B-25868,62.0,-1.0,1,5
B-25873,1275.0,357.0,2,5
B-25886,502.0,84.0,4,5
B-25888,223.0,4.0,3,5
B-25900,210.0,62.0,2,5
B-25903,336.0,57.0,2,5
B-25909,1622.0,248.0,3,5
B-25909,323.0,122.0,5,5
B-25919,977.0,244.0,7,5
B-25923,3873.0,891.0,6,5
B-25946,146.0,7.0,2,5
B-25951,248.0,105.0,2,5
B-25954,146.0,66.0,1,5
B-25955,200.0,13.0,5,5
B-25956,474.0,56.0,4,5
B-25956,140.0,28.0,2,5
B-25959,252.0,56.0,2,5
B-25959,637.0,212.0,8,5
B-25970,365.0,107.0,3,5
B-25981,867.0,251.0,5,5
B-25993,414.0,199.0,3,5
B-25994,196.0,-7.0,5,5
B-25996,333.0,50.0,2,5
B-25999,129.0,11.0,2,5
B-26022,1824.0,-1303.0,8,5
B-26028,1272.0,547.0,2,5
B-26035,520.0,151.0,3,5
B-26050,487.0,143.0,4,5
B-26055,671.0,114.0,9,5
B-26056,391.0,90.0,6,5
B-26096,451.0,25.0,3,5
B-26099,835.0,267.0,5,5
B-25602,561.0,212.0,3,8
B-25602,119.0,-5.0,8,8
B-25603,193.0,-166.0,3,8
B-25604,157.0,5.0,9,8
B-25605,75.0,0.0,7,8
B-25609,25.0,-5.0,4,8
B-25610,43.0,0.0,3,8
B-25611,160.0,-59.0,2,8
B-25613,1603.0,0.0,9,8
B-25619,353.0,90.0,8,8
B-25622,534.0,0.0,3,8
B-25623,149.0,-87.0,4,8
B-25625,635.0,-349.0,5,8
B-25628,24.0,-9.0,4,8
B-25633,711.0,-8.0,4,8
B-25635,382.0,30.0,3,8
B-25636,637.0,113.0,5,8
B-25640,122.0,-47.0,4,8
B-25646,20.0,-8.0,2,8
B-25647,42.0,-6.0,4,8
B-25648,55.0,-26.0,4,8
B-25648,130.0,-41.0,4,8
B-25650,211.0,-105.0,2,8
B-25650,31.0,-2.0,2,8
B-25650,512.0,-225.0,5,8
B-25650,238.0,20.0,2,8
B-25651,23.0,4.0,1,8
B-25651,457.0,-41.0,4,8
B-25652,206.0,-206.0,3,8
B-25653,28.0,-3.0,2,8
B-25654,229.0,-23.0,2,8
B-25654,54.0,-3.0,3,8
B-25655,396.0,-31.0,9,8
B-25655,110.0,-68.0,4,8
B-25656,534.0,0.0,3,8
B-25656,61.0,-23.0,2,8
B-25656,406.0,126.0,2,8
B-25656,1389.0,680.0,7,8
B-25657,32.0,-22.0,5,8
B-25660,245.0,-78.0,3,8
B-25667,344.0,-34.0,3,8
B-25673,143.0,-124.0,5,8
B-25673,44.0,-17.0,5,8
B-25673,16.0,-1.0,1,8
B-25675,929.0,-93.0,9,8
B-25678,64.0,-7.0,3,8
B-25679,76.0,-50.0,1,8
B-25680,73.0,-25.0,3,8
B-25681,44.0,-3.0,1,8
B-25683,86.0,-55.0,6,8
B-25686,381.0,-13.0,2,8
B-25687,357.0,139.0,2,8
B-25687,387.0,-213.0,5,8
B-25688,352.0,-345.0,5,8
B-25691,714.0,56.0,4,8
B-25693,632.0,-316.0,6,8
B-25693,32.0,-16.0,6,8
B-25696,116.0,-4.0,1,8
B-25696,275.0,-275.0,4,8
B-25696,168.0,-9.0,3,8
B-25698,207.0,-153.0,3,8
B-25702,31.0,-3.0,4,8
B-25702,306.0,-147.0,3,8
B-25703,97.0,-45.0,4,8
B-25703,47.0,-27.0,4,8
B-25709,33.0,-12.0,7,8
B-25716,58.0,0.0,4,8
B-25717,561.0,212.0,3,8
B-25717,138.0,-3.0,5,8
B-25728,322.0,-113.0,4,8
B-25738,72.0,-6.0,3,8
B-25738,1069.0,0.0,6,8
B-25740,58.0,-8.0,2,8
B-25743,143.0,-124.0,5,8
B-25743,9.0,-5.0,1,8
B-25745,296.0,-225.0,11,8
B-25746,87.0,16.0,2,8
B-25750,208.0,-25.0,2,8
B-25750,20.0,-18.0,2,8
B-25751,43.0,-5.0,2,8
B-25754,30.0,-23.0,2,8
B-25754,319.0,-312.0,5,8
B-25755,37.0,-53.0,3,8
B-25755,321.0,-315.0,5,8
B-25755,27.0,4.0,2,8
B-25761,40.0,0.0,3,8
B-25761,102.0,-90.0,1,8
B-25762,98.0,-5.0,2,8
B-25764,24.0,-24.0,2,8
B-25766,220.0,-19.0,2,8
B-25767,29.0,-3.0,3,8
B-25767,48.0,-22.0,2,8
B-25769,355.0,-4.0,2,8
B-25773,85.0,-9.0,4,8
B-25773,24.0,-14.0,2,8
B-25778,109.0,-6.0,6,8
B-25778,933.0,166.0,5,8
B-25785,595.0,292.0,3,8
B-25785,192.0,-146.0,3,8
B-25785,26.0,-25.0,3,8
B-25787,556.0,-209.0,7,8
B-25791,253.0,-63.0,2,8
B-25791,565.0,66.0,7,8
B-25791,175.0,77.0,3,8
B-25793,257.0,-252.0,4,8
B-25793,1402.0,109.0,11,8
B-25796,37.0,-6.0,1,8
B-25796,632.0,-316.0,6,8
B-25796,148.0,0.0,3,8
B-25797,89.0,-4.0,5,8
B-25798,379.0,63.0,2,8
B-25799,205.0,-119.0,3,8
B-25799,47.0,-27.0,4,8
B-25801,64.0,6.0,4,8
B-25802,27.0,-7.0,5,8
B-25803,765.0,8.0,6,8
B-25810,1120.0,199.0,6,8
B-25814,462.0,169.0,4,8
B-25822,34.0,13.0,2,8
B-25825,140.0,6.0,5,8
B-25828,537.0,107.0,3,8
B-25828,128.0,-3.0,3,8
B-25828,222.0,35.0,5,8
B-25830,54.0,1.0,2,8
B-25831,693.0,254.0,6,8
B-25839,1250.0,486.0,7,8
B-25840,262.0,64.0,6,8
B-25844,86.0,8.0,2,8
B-25850,485.0,199.0,4,8
B-25851,103.0,46.0,2,8
B-25851,62.0,1.0,3,8
